id,name,stco,subreg,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,yr
3649424,"Napeague CDP, New York",36103,LI,11,7,19,284,303,4,7,255,municipality,2020
3649825,"Nesconset CDP, New York",36103,LI,621,170,803,9673,10476,70,189,8623,municipality,2020
3650727,"New Suffolk CDP, New York",36103,LI,0,1,19,312,331,1,3,307,municipality,2020
3651286,"Nissequogue village, New York",36103,LI,31,6,59,1228,1287,13,29,1149,municipality,2020
3651396,"North Amityville CDP, New York",36103,LI,241,7016,4729,9501,14230,265,436,1543,municipality,2020
3651418,"Northampton CDP, New York",36103,LI,10,119,197,376,573,3,10,234,municipality,2020
3651440,"North Babylon CDP, New York",36103,LI,775,1263,2369,12122,14491,103,315,9666,municipality,2020
3651495,"North Bay Shore CDP, New York",36103,LI,689,2087,9744,4873,14617,156,227,1714,municipality,2020
3651528,"North Bellport CDP, New York",36103,LI,263,1947,3032,5912,8944,143,297,3262,municipality,2020
3652078,"North Great River CDP, New York",36103,LI,77,106,507,2952,3459,14,56,2699,municipality,2020
3652188,"North Haven village, New York",36103,LI,15,7,39,908,947,5,18,863,municipality,2020
3653198,"North Lindenhurst CDP, New York",36103,LI,365,574,2411,7095,9506,85,193,5878,municipality,2020
3653319,"North Patchogue CDP, New York",36103,LI,103,152,1264,4116,5380,24,94,3743,municipality,2020
3653396,"Northport village, New York",36103,LI,119,46,263,5796,6059,24,91,5516,municipality,2020
3653561,"North Sea CDP, New York",36103,LI,102,54,727,3665,4392,58,120,3331,municipality,2020
3653775,"Northville CDP, New York",36103,LI,15,17,153,1196,1349,2,26,1136,municipality,2020
3653852,"Northwest Harbor CDP, New York",36103,LI,96,72,641,3225,3866,49,84,2924,municipality,2020
3654056,"Noyack CDP, New York",36103,LI,58,52,412,3161,3573,19,65,2967,municipality,2020
3654144,"Oakdale CDP, New York",36103,LI,82,73,362,5857,6219,9,91,5602,municipality,2020
3654430,"Ocean Beach village, New York",36103,LI,0,2,5,132,137,1,4,125,municipality,2020
3654617,"Old Field village, New York",36103,LI,71,2,24,722,746,9,14,626,municipality,2020
3655321,"Orient CDP, New York",36103,LI,10,2,30,845,875,5,15,813,municipality,2020
3656660,"Patchogue village, New York",36103,LI,205,528,2556,7746,10302,54,201,6758,municipality,2020
3656968,"Peconic CDP, New York",36103,LI,6,12,57,539,596,5,9,507,municipality,2020
3659157,"Poquott village, New York",36103,LI,77,8,36,711,747,0,10,616,municipality,2020
3659355,"Port Jefferson village, New York",36103,LI,438,82,490,6100,6590,40,196,5344,municipality,2020
3659377,"Port Jefferson Station CDP, New York",36103,LI,420,237,1099,5194,6293,17,132,4388,municipality,2020
3660408,"Quiogue CDP, New York",36103,LI,18,34,200,585,785,11,23,499,municipality,2020
3660422,"Quogue village, New York",36103,LI,45,34,94,1281,1375,23,21,1158,municipality,2020
3661142,"Remsenburg-Speonk CDP, New York",36103,LI,32,28,244,2254,2498,9,36,2149,municipality,2020
3661665,"Ridge CDP, New York",36103,LI,273,521,762,10443,11205,48,212,9389,municipality,2020
3661973,"Riverhead CDP, New York",36103,LI,174,1396,3854,8026,11880,86,258,6112,municipality,2020
3662066,"Riverside CDP, New York",36103,LI,22,488,847,1570,2417,23,46,991,municipality,2020
3663319,"Rocky Point CDP, New York",36103,LI,197,128,1050,9512,10562,25,285,8877,municipality,2020
3663473,"Ronkonkoma CDP, New York",36103,LI,844,432,1944,13152,15096,206,353,11317,municipality,2020
3664452,"Sagaponack village, New York",36103,LI,27,5,42,585,627,10,11,532,municipality,2020
3664485,"Sag Harbor village, New York",36103,LI,23,190,219,2077,2296,28,65,1771,municipality,2020
3664584,"St. James CDP, New York",36103,LI,391,94,713,10158,10871,31,181,9461,municipality,2020
3664881,"Saltaire village, New York",36103,LI,2,0,3,96,99,0,3,91,municipality,2020
3665409,"Sayville CDP, New York",36103,LI,218,150,756,12513,13269,45,240,11860,municipality,2020
3666212,"Selden CDP, New York",36103,LI,1120,675,2876,13911,16787,122,336,11658,municipality,2020
3666481,"Setauket-East Setauket CDP, New York",36103,LI,1260,149,749,11168,11917,59,253,9447,municipality,2020
3666828,"Shelter Island CDP, New York",36103,LI,17,12,130,1224,1354,2,49,1144,municipality,2020
3666850,"Shelter Island Heights CDP, New York",36103,LI,24,4,57,1351,1408,1,38,1284,municipality,2020
3667048,"Shinnecock Hills CDP, New York",36103,LI,37,39,483,1313,1796,15,42,1180,municipality,2020
3667070,"Shirley CDP, New York",36103,LI,566,1314,4244,16172,20416,174,623,13495,municipality,2020
3667191,"Shoreham village, New York",36103,LI,12,8,30,423,453,0,15,388,municipality,2020
3667851,"Smithtown CDP, New York",36103,LI,776,260,1776,18683,20459,98,416,17133,municipality,2020
3668374,"Sound Beach CDP, New York",36103,LI,113,93,513,5332,5845,34,150,4942,municipality,2020
3668462,"Southampton village, New York",36103,LI,106,200,546,3219,3765,42,81,2790,municipality,2020
3669254,"South Huntington CDP, New York",36103,LI,629,164,985,6805,7790,31,155,5826,municipality,2020
3669452,"Southold CDP, New York",36103,LI,70,57,535,4597,5132,18,109,4343,municipality,2020
3670387,"Springs CDP, New York",36103,LI,114,107,2012,4462,6474,21,144,4076,municipality,2020
3671608,"Stony Brook CDP, New York",36103,LI,1375,179,574,10352,10926,57,213,8528,municipality,2020
3671620,"Stony Brook University CDP, New York",36103,LI,1820,3484,1718,8584,10302,117,532,2631,municipality,2020
3673352,"Terryville CDP, New York",36103,LI,355,310,1640,7476,9116,44,181,6586,municipality,2020
3675572,"Tuckahoe CDP, New York",36103,LI,33,77,261,998,1259,19,27,842,municipality,2020
3677519,"Village of the Branch village, New York",36103,LI,39,18,71,1288,1359,3,25,1203,municipality,2020
3677772,"Wading River CDP, New York",36103,LI,83,114,442,5659,6101,24,144,5294,municipality,2020
3677805,"Wainscott CDP, New York",36103,LI,18,16,113,642,755,9,12,587,municipality,2020
3678575,"Water Mill CDP, New York",36103,LI,71,17,142,1915,2057,7,54,1766,municipality,2020
3679246,"West Babylon CDP, New York",36103,LI,1142,4039,5677,28955,34632,202,801,22771,municipality,2020
3679301,"West Bay Shore CDP, New York",36103,LI,110,100,327,3423,3750,15,78,3120,municipality,2020
3680170,"Westhampton CDP, New York",36103,LI,39,69,440,2492,2932,23,53,2308,municipality,2020
3680181,"Westhampton Beach village, New York",36103,LI,37,26,217,1538,1755,8,26,1441,municipality,2020
3680186,"West Hampton Dunes village, New York",36103,LI,2,0,2,103,105,0,0,101,municipality,2020
3680258,"West Hills CDP, New York",36103,LI,309,89,386,4081,4467,20,62,3601,municipality,2020
3680302,"West Islip CDP, New York",36103,LI,413,138,1872,19575,21447,51,340,18633,municipality,2020
3680885,"West Sayville CDP, New York",36103,LI,59,39,217,3731,3948,11,72,3550,municipality,2020
3681419,"Wheatley Heights CDP, New York",36103,LI,312,2014,618,3324,3942,64,141,793,municipality,2020
3683294,"Wyandanch CDP, New York",36103,LI,132,4799,3721,5651,9372,130,254,336,municipality,2020
3683426,"Yaphank CDP, New York",36103,LI,132,225,548,4352,4900,44,155,3796,municipality,2020
3610304000,"Babylon town, Suffolk County, New York",36103,LI,7322,26102,36522,136992,173514,1503,3855,98210,municipality,2020
3610310000,"Brookhaven town, Suffolk County, New York",36103,LI,18962,23621,58329,330329,388658,2499,9623,275624,municipality,2020
3610322194,"East Hampton town, Suffolk County, New York",36103,LI,402,698,5574,17585,23159,181,498,15806,municipality,2020
3610337000,"Huntington town, Suffolk County, New York",36103,LI,10691,6834,21554,141028,162582,860,3074,119569,municipality,2020
3610338000,"Islip town, Suffolk County, New York",36103,LI,8498,21216,84928,180215,265143,2047,4729,143725,municipality,2020
3610359106,"Poospatuck Reservation, Suffolk County, New York",36103,LI,0,51,61,261,322,163,22,25,municipality,2020
3610361984,"Riverhead town, Suffolk County, New York",36103,LI,352,1774,5607,23563,29170,148,592,20697,municipality,2020
3610366839,"Shelter Island town, Suffolk County, New York",36103,LI,45,16,201,2600,2801,4,88,2447,municipality,2020
3610367059,"Shinnecock Reservation, Suffolk County, New York",36103,LI,0,29,25,591,616,522,15,25,municipality,2020
3610368000,"Smithtown town, Suffolk County, New York",36103,LI,4275,1227,6845,86018,92863,450,1672,78394,municipality,2020
3610368473,"Southampton town, Suffolk County, New York",36103,LI,939,1961,12001,43610,55611,432,1044,39234,municipality,2020
3610369463,"Southold town, Suffolk County, New York",36103,LI,233,417,2446,17527,19973,80,393,16404,municipality,2020
3610506310,"Bethel town, Sullivan County, New York",36105,MHV,32,72,365,2997,3362,26,103,2764,municipality,2020
3610511759,"Callicoon town, Sullivan County, New York",36105,MHV,57,28,164,2344,2508,14,74,2171,municipality,2020
3610516661,"Cochecton town, Sullivan County, New York",36105,MHV,7,15,56,1128,1184,7,44,1055,municipality,2020
3610520104,"Delaware town, Sullivan County, New York",36105,MHV,20,98,113,1683,1796,11,43,1511,municipality,2020
3610525241,"Fallsburg town, Sullivan County, New York",36105,MHV,275,1585,2729,8263,10992,149,299,5955,municipality,2020
3610526528,"Forestburgh town, Sullivan County, New York",36105,MHV,15,13,26,664,690,4,17,615,municipality,2020
3610527573,"Fremont town, Sullivan County, New York",36105,MHV,10,20,49,941,990,8,23,880,municipality,2020
3610534473,"Highland town, Sullivan County, New York",36105,MHV,17,27,108,1758,1866,10,48,1656,municipality,2020
3610542235,"Liberty town, Sullivan County, New York",36105,MHV,140,554,1797,5996,7793,58,305,4939,municipality,2020
3610543786,"Lumberland town, Sullivan County, New York",36105,MHV,24,30,141,1676,1817,16,78,1528,municipality,2020
3610544809,"Mamakating town, Sullivan County, New York",36105,MHV,165,332,1030,8591,9621,112,428,7554,municipality,2020
3610549847,"Neversink town, Sullivan County, New York",36105,MHV,36,34,144,2569,2713,10,71,2418,municipality,2020
3610563176,"Rockland town, Sullivan County, New York",36105,MHV,48,39,208,2426,2634,16,97,2226,municipality,2020
3610573627,"Thompson town, Sullivan County, New York",36105,MHV,475,2066,2582,10074,12656,170,534,6829,municipality,2020
3610575759,"Tusten town, Sullivan County, New York",36105,MHV,24,26,70,1094,1164,5,37,1002,municipality,2020
3611120247,"Denning town, Ulster County, New York",36111,MHV,3,12,21,405,426,6,28,356,municipality,2020
3611124691,"Esopus town, Ulster County, New York",36111,MHV,91,307,413,7443,7856,45,304,6696,municipality,2020
3611128255,"Gardiner town, Ulster County, New York",36111,MHV,84,63,315,4248,4563,29,189,3883,municipality,2020
3611132116,"Hardenburgh town, Ulster County, New York",36111,MHV,13,1,11,175,186,0,0,161,municipality,2020
3611137143,"Hurley town, Ulster County, New York",36111,MHV,104,92,256,4910,5166,52,152,4510,municipality,2020
3611139727,"Kingston city, Ulster County, New York",36111,MHV,462,2272,2687,16530,19217,141,933,12722,municipality,2020
3611139738,"Kingston town, Ulster County, New York",36111,MHV,9,6,36,734,770,8,35,676,municipality,2020
3611142994,"Lloyd town, Ulster County, New York",36111,MHV,261,531,799,8197,8996,77,267,7061,municipality,2020
3611145458,"Marbletown town, Ulster County, New York",36111,MHV,85,62,206,4576,4782,33,195,4201,municipality,2020
3611145722,"Marlborough town, Ulster County, New York",36111,MHV,76,367,674,6295,6969,24,185,5643,municipality,2020
3611150562,"New Paltz town, Ulster County, New York",36111,MHV,702,666,1508,10833,12341,229,366,8870,municipality,2020
3611154749,"Olive town, Ulster County, New York",36111,MHV,50,40,165,3400,3565,36,155,3119,municipality,2020
3611158552,"Plattekill town, Ulster County, New York",36111,MHV,82,405,1464,6808,8272,75,331,5915,municipality,2020
3611163011,"Rochester town, Ulster County, New York",36111,MHV,95,97,333,5569,5902,49,260,5068,municipality,2020
3611163737,"Rosendale town, Ulster County, New York",36111,MHV,56,88,254,4591,4845,41,192,4214,municipality,2020
3611165299,"Saugerties town, Ulster County, New York",36111,MHV,224,305,970,14743,15713,72,605,13537,municipality,2020
3611166597,"Shandaken town, Ulster County, New York",36111,MHV,40,33,152,2284,2436,39,95,2077,municipality,2020
3611166674,"Shawangunk town, Ulster County, New York",36111,MHV,151,1028,1507,9806,11313,70,268,8289,municipality,2020
3611175935,"Ulster town, Ulster County, New York",36111,MHV,255,455,795,9643,10438,84,383,8466,municipality,2020
3611178828,"Wawarsing town, Ulster County, New York",36111,MHV,145,1410,2037,8203,10240,106,394,6148,municipality,2020
3611183052,"Woodstock town, Ulster County, New York",36111,MHV,141,87,256,5205,5461,53,167,4757,municipality,2020
3611905320,"Bedford town, Westchester County, New York",36119,LHV,467,657,2028,11361,13389,86,291,9860,municipality,2020
3611918410,"Cortlandt town, Westchester County, New York",36119,LHV,1333,2004,5995,27700,33695,218,945,23200,municipality,2020
3611921820,"Eastchester town, Westchester County, New York",36119,LHV,2298,837,2216,24169,26385,144,549,20341,municipality,2020
3611930367,"Greenburgh town, Westchester County, New York",36119,LHV,8967,8315,12003,62936,74939,605,1994,43055,municipality,2020
3611932413,"Harrison town, Westchester County, New York",36119,LHV,2003,621,3221,18380,21601,143,556,15057,municipality,2020
3611942136,"Lewisboro town, Westchester County, New York",36119,LHV,362,168,657,8905,9562,61,269,8045,municipality,2020
3611944842,"Mamaroneck town, Westchester County, New York",36119,LHV,1229,711,3956,19406,23362,196,584,16686,municipality,2020
3611948895,"Mount Kisco town, Westchester County, New York",36119,LHV,444,383,3318,5402,8720,45,161,4369,municipality,2020
3611949011,"Mount Pleasant town, Westchester County, New York",36119,LHV,2012,1062,6723,27811,34534,187,645,23905,municipality,2020
3611949121,"Mount Vernon city, Westchester County, New York",36119,LHV,1166,35456,10276,48296,58572,1229,2468,7977,municipality,2020
3611950078,"New Castle town, Westchester County, New York",36119,LHV,1511,203,797,12358,13155,58,313,10273,municipality,2020
3611950617,"New Rochelle city, Westchester County, New York",36119,LHV,3194,11715,19039,44150,63189,698,1592,26951,municipality,2020
3611951693,"North Castle town, Westchester County, New York",36119,LHV,598,150,1029,8306,9335,33,192,7333,municipality,2020
3611953517,"North Salem town, Westchester County, New York",36119,LHV,91,56,392,3799,4191,24,89,3539,municipality,2020
3611955541,"Ossining town, Westchester County, New York",36119,LHV,1745,3468,10325,21460,31785,175,643,15429,municipality,2020
3611956979,"Peekskill city, Westchester County, New York",36119,LHV,626,3822,7915,12189,20104,155,567,7019,municipality,2020
3611957012,"Pelham town, Westchester County, New York",36119,LHV,633,530,1087,8244,9331,132,293,6656,municipality,2020
3611959685,"Pound Ridge town, Westchester County, New York",36119,LHV,128,58,244,3765,4009,15,129,3435,municipality,2020
3611964309,"Rye city, Westchester County, New York",36119,LHV,820,151,936,10746,11682,48,312,9415,municipality,2020
3611964320,"Rye town, Westchester County, New York",36119,LHV,1477,1426,17427,20631,38058,293,837,16598,municipality,2020
3611965442,"Scarsdale town, Westchester County, New York",36119,LHV,2571,168,594,12009,12603,82,380,8808,municipality,2020
3611968308,"Somers town, Westchester County, New York",36119,LHV,637,220,1313,16077,17390,44,340,14836,municipality,2020
3611981677,"White Plains city, Westchester County, New York",36119,LHV,4131,5644,14424,33814,48238,427,1154,22458,municipality,2020
3611984000,"Yonkers city, Westchester County, New York",36119,LHV,10843,26163,64473,101530,166003,1582,3358,59584,municipality,2020
3611984077,"Yorktown town, Westchester County, New York",36119,LHV,1529,971,3587,25023,28610,159,565,21799,municipality,2020
0.0,United States,,,15713740,30266080,43322792,215020489,258343281,3290299,8631797,157118573,nation,2020
09001,"Fairfield County, Connecticut",09001,CT,20836,57724,71076,585277,656353,3225,9088,494404,county,2000
09005,"Litchfield County, Connecticut",09005,CT,1468,1279,2334,135013,137347,385,927,130954,county,2000
09009,"New Haven County, Connecticut",09009,CT,14531,59957,51474,570855,622329,2491,7570,486306,county,2000
34003,"Bergen County, New Jersey",34003,INJ,68872,33197,65860,615204,681064,1706,8342,503087,county,2000
34013,"Essex County, New Jersey",34013,INJ,21876,225054,85706,500977,586683,3649,12952,237446,county,2000
34017,"Hudson County, New Jersey",34017,INJ,44441,52194,176663,294814,471477,3259,11765,183155,county,2000
34019,"Hunterdon County, New Jersey",34019,ONJ,1667,2299,2471,88144,90615,174,507,83497,county,2000
34021,"Mercer County, New Jersey",34021,ONJ,12741,47413,23388,243036,266424,833,3136,178913,county,2000
34023,"Middlesex County, New Jersey",34023,INJ,77285,46062,69621,502913,572534,1987,7961,369618,county,2000
34025,"Monmouth County, New Jersey",34025,ONJ,17374,33162,25983,428976,454959,1108,4357,372975,county,2000
34027,"Morris County, New Jersey",34027,INJ,21644,9347,26363,327011,353374,770,2855,292395,county,2000
34029,"Ocean County, New Jersey",34029,ONJ,4664,9646,16868,375002,391870,641,2431,357620,county,2000
34031,"Passaic County, New Jersey",34031,INJ,12911,41572,99389,262174,361563,1357,7143,199191,county,2000
34035,"Somerset County, New Jersey",34035,INJ,17818,15264,18039,203460,221499,560,2038,167780,county,2000
34037,"Sussex County, New Jersey",34037,ONJ,1183,985,3113,100835,103948,184,710,97773,county,2000
34039,"Union County, New Jersey",34039,INJ,14632,73682,73783,318817,392600,1436,6130,222937,county,2000
34041,"Warren County, New Jersey",34041,ONJ,879,1272,2454,73293,75747,158,565,70419,county,2000
36005,"Bronx County, New York",36005,NYC,28915,289740,423572,511706,935278,8105,19596,165350,county,2000
36027,"Dutchess County, New York",36027,MHV,5235,17761,12249,197633,209882,631,2257,171749,county,2000
36047,"Kings County, New York",36047,NYC,139016,592785,332412,1470415,1802827,13716,49395,675503,county,2000
36059,"Nassau County, New York",36059,LI,45096,91041,93142,912323,1005465,2913,11170,762103,county,2000
36061,"New York County, New York",36061,NYC,124278,179946,305407,973872,1279279,6577,22515,640556,county,2000
36071,"Orange County, New York",36071,MHV,3703,17228,25232,216979,242211,883,2504,192661,county,2000
36079,"Putnam County, New York",36079,LHV,855,1081,4116,66255,70371,159,534,63626,county,2000
36081,"Queens County, New York",36081,NYC,300567,305674,403106,1317049,1720155,24111,68059,618638,county,2000
36085,"Richmond County, New York",36085,NYC,18636,25714,34711,295759,330470,1012,4880,245517,county,2000
36087,"Rockland County, New York",36087,LHV,11483,20481,20264,186203,206467,716,3038,150485,county,2000
36103,"Suffolk County, New York",36103,LI,25996,62491,100798,948490,1049288,3596,10885,845522,county,2000
36105,"Sullivan County, New York",36105,MHV,612,4390,4526,50988,55514,201,503,45282,county,2000
36111,"Ulster County, New York",36111,MHV,1657,6907,7555,128423,135978,600,1524,117735,county,2000
36119,"Westchester County, New York",36119,LHV,30085,89327,99604,593058,692662,2833,11047,459766,county,2000
09001,"Fairfield County, Connecticut",09001,CT,31207,68000,108149,581661,689810,4952,6949,470553,county,2010
09005,"Litchfield County, Connecticut",09005,CT,2064,1687,5324,143651,148975,396,1165,138339,county,2010
09009,"New Haven County, Connecticut",09009,CT,22616,73409,84123,585380,669503,3150,7548,478657,county,2010
36047,"Kings County, New York",36047,NYC,202681,606643,359871,1550451,1910322,11245,27849,702033,county,2010
36059,"Nassau County, New York",36059,LI,75802,105527,138202,889750,1027952,4043,10486,693892,county,2010
36061,"New York County, New York",36061,NYC,158104,167141,315139,1036299,1351438,6064,21053,683937,county,2010
36079,"Putnam County, New York",36079,LHV,1342,1536,8182,67878,76060,190,597,64213,county,2010
36071,"Orange County, New York",36071,MHV,6431,24348,43208,228076,271284,1253,3525,192519,county,2010
36081,"Queens County, New York",36081,NYC,407926,305075,459179,1309642,1768821,28521,41029,527091,county,2010
36085,"Richmond County, New York",36085,NYC,27049,31490,54618,304911,359529,1288,3931,241153,county,2010
36087,"Rockland County, New York",36087,LHV,14765,25907,34135,189972,224107,748,2447,146105,county,2010
36103,"Suffolk County, New York",36103,LI,38140,74010,169015,966665,1135680,4240,10355,839920,county,2010
36105,"Sullivan County, New York",36105,MHV,839,4833,6986,52985,59971,338,662,46313,county,2010
36111,"Ulster County, New York",36111,MHV,2415,7800,10805,134872,145677,584,1873,122200,county,2010
36119,"Westchester County, New York",36119,LHV,38707,96763,145755,575358,721113,3411,8009,428468,county,2010
34041,"Warren County, New Jersey",34041,ONJ,1888,2486,4975,78109,83084,180,628,72927,county,2010
34035,"Somerset County, New Jersey",34035,INJ,32701,20037,29131,213478,242609,689,2532,157519,county,2010
34037,"Sussex County, New Jersey",34037,ONJ,1971,1751,6343,107149,113492,241,826,102360,county,2010
34039,"Union County, New Jersey",34039,INJ,18687,82444,105722,299519,405241,2000,4147,192241,county,2010
36005,"Bronx County, New York",36005,NYC,36525,309709,520397,496515,1016912,8657,11419,130205,county,2010
36027,"Dutchess County, New York",36027,MHV,7733,20792,21311,210208,231519,882,2828,177973,county,2010
34021,"Mercer County, New Jersey",34021,ONJ,23858,52811,38813,244718,283531,873,3366,163810,county,2010
34023,"Middlesex County, New Jersey",34023,INJ,127602,53383,103155,521246,624401,2652,8505,329104,county,2010
34025,"Monmouth County, New Jersey",34025,ONJ,23096,32587,41337,438744,480081,1825,4415,376821,county,2010
34027,"Morris County, New Jersey",34027,INJ,32741,10854,40669,333912,374581,805,3386,286126,county,2010
34029,"Ocean County, New Jersey",34029,ONJ,7564,11907,31236,410412,441648,770,2888,387283,county,2010
34003,"Bergen County, New Jersey",34003,INJ,100038,36048,104506,596205,700711,2424,7258,450437,county,2010
34019,"Hunterdon County, New Jersey",34019,ONJ,3039,2717,4771,93361,98132,191,624,86790,county,2010
34013,"Essex County, New Jersey",34013,INJ,27293,227440,113312,475739,589051,5858,8227,206921,county,2010
34017,"Hudson County, New Jersey",34017,INJ,69894,53637,200642,302462,503104,3792,6950,168189,county,2010
34031,"Passaic County, New Jersey",34031,INJ,18645,41212,128930,247683,376613,1421,3903,182502,county,2010
CT,Connecticut,0<NA>,CT,36835,118960,124884,1291145,1416029,6101,17585,1111664,subregion,2000
CT,Connecticut,0<NA>,CT,55887,143096,197596,1310692,1508288,8498,15662,1087549,subregion,2010
INJ,Inner New Jersey,0<NA>,INJ,279479,496372,615424,3025370,3640794,14724,59186,2175609,subregion,2000
INJ,Inner New Jersey,0<NA>,INJ,427601,525055,826067,2990244,3816311,19641,44908,1973039,subregion,2010
LHV,Lower Hudson Valley,0<NA>,LHV,42423,110889,123984,845516,969500,3708,14619,673877,subregion,2000
LHV,Lower Hudson Valley,0<NA>,LHV,54814,124206,188072,833208,1021280,4349,11053,638786,subregion,2010
LI,Long Island,0<NA>,LI,71092,153532,193940,1860813,2054753,6509,22055,1607625,subregion,2000
LI,Long Island,0<NA>,LI,113942,179537,307217,1856415,2163632,8283,20841,1533812,subregion,2010
MHV,Mid Hudson Valley,0<NA>,MHV,11207,46286,49562,594023,643585,2315,6788,527427,subregion,2000
MHV,Mid Hudson Valley,0<NA>,MHV,17418,57773,82310,626141,708451,3057,8888,539005,subregion,2010
NYC,New York City,0<NA>,NYC,611412,1393859,1499208,4568801,6068009,53521,164445,2345564,subregion,2000
NYC,New York City,0<NA>,NYC,832285,1420058,1709204,4697818,6407022,55775,105281,2284419,subregion,2010
ONJ,Outer New Jersey,0<NA>,ONJ,38508,94777,74277,1309286,1383563,3098,11706,1161197,subregion,2000
ONJ,Outer New Jersey,0<NA>,ONJ,61416,104259,127475,1372493,1499968,4080,12747,1189991,subregion,2010
us,United States,0<NA>,,7702895,23337573,22963559,186164535,209128094,1902426,2695954,150525687,nation,2000
us,United States,0<NA>,,11288995,27323665,33346703,201217368,234564071,2326808,3176910,157100990,nation,2010
900100000,"County subdivisions not defined, Fairfield County, Connecticut",09001,CT,0,0,0,0,0,0,0,0,municipality,2000
900100000,"County subdivisions not defined, Fairfield County, Connecticut",09001,CT,0,0,0,0,0,0,0,0,municipality,2010
900104720,"Bethel town, Fairfield County, Connecticut",09001,CT,838,340,892,25392,26284,116,226,23872,municipality,2000
900104720,"Bethel town, Fairfield County, Connecticut",09001,CT,609,238,917,13291,14208,118,132,12194,municipality,2010
900108070,"Bridgeport town, Fairfield County, Connecticut",09001,CT,6592,53980,56524,143190,199714,2342,6368,73908,municipality,2000
900108070,"Bridgeport town, Fairfield County, Connecticut",09001,CT,3864,33610,38022,70160,108182,1756,1811,29119,municipality,2010
900108980,"Brookfield town, Fairfield County, Connecticut",09001,CT,542,174,490,22262,22752,28,94,21424,municipality,2000
900108980,"Brookfield town, Fairfield County, Connecticut",09001,CT,405,126,461,11881,12342,50,64,11236,municipality,2010
900118500,"Danbury town, Fairfield County, Connecticut",09001,CT,5798,7000,17156,100086,117242,1892,2796,82600,municipality,2000
900118500,"Danbury town, Fairfield County, Connecticut",09001,CT,4119,3974,14391,49460,63851,1501,1226,38640,municipality,2010
900118850,"Darien town, Fairfield County, Connecticut",09001,CT,620,136,586,25900,26486,28,120,24996,municipality,2000
900118850,"Darien town, Fairfield County, Connecticut",09001,CT,492,68,449,12902,13351,34,51,12257,municipality,2010
900123890,"Easton town, Fairfield County, Connecticut",09001,CT,184,24,170,10210,10380,12,28,9962,municipality,2000
900123890,"Easton town, Fairfield County, Connecticut",09001,CT,160,38,132,5230,5362,11,28,4993,municipality,2010
900126620,"Fairfield town, Fairfield County, Connecticut",09001,CT,1634,888,1888,85574,87462,144,464,82444,municipality,2000
900126620,"Fairfield town, Fairfield County, Connecticut",09001,CT,1534,744,1974,42335,44309,132,330,39595,municipality,2010
900133620,"Greenwich town, Fairfield County, Connecticut",09001,CT,4346,1488,5400,85714,91114,212,732,78936,municipality,2000
900133620,"Greenwich town, Fairfield County, Connecticut",09001,CT,2893,902,4035,40798,44833,163,328,36512,municipality,2010
900148620,"Monroe town, Fairfield County, Connecticut",09001,CT,418,324,616,26692,27308,40,126,25784,municipality,2000
900148620,"Monroe town, Fairfield County, Connecticut",09001,CT,274,185,591,13723,14314,20,91,13153,municipality,2010
900150580,"New Canaan town, Fairfield County, Connecticut",09001,CT,644,306,470,26220,26690,28,132,25110,municipality,2000
900150580,"New Canaan town, Fairfield County, Connecticut",09001,CT,462,135,351,13058,13409,21,73,12367,municipality,2010
900150860,"New Fairfield town, Fairfield County, Connecticut",09001,CT,228,74,468,19056,19524,14,106,18634,municipality,2000
900150860,"New Fairfield town, Fairfield County, Connecticut",09001,CT,177,97,379,9724,10103,38,53,9359,municipality,2010
900152980,"Newtown town, Fairfield County, Connecticut",09001,CT,498,776,832,34566,35398,64,208,33020,municipality,2000
900152980,"Newtown town, Fairfield County, Connecticut",09001,CT,420,372,674,19281,19955,40,94,18355,municipality,2010
900156060,"Norwalk town, Fairfield County, Connecticut",09001,CT,4156,17106,18612,110670,129282,326,1932,87150,municipality,2000
900156060,"Norwalk town, Fairfield County, Connecticut",09001,CT,3151,8504,14794,51935,66729,244,609,39427,municipality,2010
900163480,"Redding town, Fairfield County, Connecticut",09001,CT,196,86,168,11562,11730,24,58,11198,municipality,2000
900163480,"Redding town, Fairfield County, Connecticut",09001,CT,136,48,152,6629,6781,12,58,6375,municipality,2010
900163970,"Ridgefield town, Fairfield County, Connecticut",09001,CT,638,196,566,32256,32822,56,128,31238,municipality,2000
900163970,"Ridgefield town, Fairfield County, Connecticut",09001,CT,526,130,585,16703,17288,33,81,15933,municipality,2010
900168170,"Shelton town, Fairfield County, Connecticut",09001,CT,1140,546,1690,56568,58258,110,506,54266,municipality,2000
900168170,"Shelton town, Fairfield County, Connecticut",09001,CT,1114,633,1556,29665,31221,84,183,27651,municipality,2010
900168310,"Sherman town, Fairfield County, Connecticut",09001,CT,32,28,94,5518,5612,10,22,5426,municipality,2000
900168310,"Sherman town, Fairfield County, Connecticut",09001,CT,23,11,57,2692,2749,1,14,2643,municipality,2010
900173070,"Stamford town, Fairfield County, Connecticut",09001,CT,9264,24170,28690,153684,182374,584,2874,116792,municipality,2000
900173070,"Stamford town, Fairfield County, Connecticut",09001,CT,7460,12075,21614,74568,96182,391,914,53728,municipality,2010
900174190,"Stratford town, Fairfield County, Connecticut",09001,CT,1006,6256,4208,72732,76940,216,716,64538,municipality,2000
